Time (s),C1 True RMS (V)
41.1,1.594293298
41.2,1.594383602
41.3,1.594484033
41.4,1.594413409
41.5,1.594464645
41.6,1.594279829
41.7,1.594086664
41.8,1.5941613
41.9,1.594186864
42,1.594080367
42.1,1.594505153
42.2,1.594426882
42.3,1.594424785
42.4,1.59432267
42.5,1.59408643
42.6,1.594059013
42.7,1.594500995
42.8,1.594484812
42.9,1.594462601
43,1.594346821
43.1,1.594211227
43.2,1.594205282
43.3,1.59415961
43.4,1.594387174
43.5,1.59439092
43.6,1.594136094
43.7,1.594107827
43.8,1.594368777
43.9,1.594279157
44,1.594438624
44.1,1.594202065
44.2,1.594309534
44.3,1.594484283
44.4,1.594452953
44.5,1.594241029
44.6,1.594257212
44.7,1.594427111
44.8,1.594450722
44.9,1.594055643
45,1.594472386
45.1,1.594100153
45.2,1.594437637
45.3,1.594351134
45.4,1.594472788
45.5,1.594454794
45.6,1.594139427
45.7,1.59426138
45.8,1.594138841
45.9,1.594083246
46,1.59413177
46.1,1.594165133
46.2,1.594195481
46.3,1.594407223
46.4,1.594196584
46.5,1.594179355
46.6,1.594438456
46.7,1.594484795
46.8,1.59436555
46.9,1.594346839
47,1.594139041
47.1,1.594219739
47.2,1.594156833
47.3,1.594275202
47.4,1.594361872
47.5,1.594118781
47.6,1.594080165
47.7,1.594439883
47.8,1.594471966
47.9,1.59424961
48,1.594189103
48.1,1.594105801
48.2,1.594474216
48.3,1.594246895
48.4,1.594099537
48.5,1.594267087
48.6,1.59431528
48.7,1.594244485
48.8,1.594166028
48.9,1.594469984
49,1.594040285
49.1,1.594416776
49.2,1.594459011
49.3,1.594028042
49.4,1.59417497
49.5,1.59417893
49.6,1.594209613
49.7,1.594520755
49.8,1.594079597
49.9,1.594441467
50,1.594062976
50.1,1.594132543
50.2,1.594425025
50.3,1.594118283
50.4,1.59417536
50.5,1.59409227
50.6,1.594340928
50.7,1.594438251
50.8,1.59445627
50.9,1.594125706
51,1.594120333
51.1,1.594441666
51.2,1.594089656
51.3,1.594532257
51.4,1.59437621
51.5,1.594108079
51.6,1.594493337
51.7,1.594452624
51.8,1.594437944
51.9,1.59425076
52,1.59451596
52.1,1.59411114
52.2,1.594169815
52.3,1.594223053
52.4,1.594301397
52.5,1.594423551
52.6,1.594122139
52.7,1.594190988
52.8,1.594289867
52.9,1.594294512
53,1.594501226
53.1,1.594169236
53.2,1.594396005
53.3,1.59413118
53.4,1.594489115
53.5,1.594465992
53.6,1.594134592
53.7,1.594522473
53.8,1.594180348
53.9,1.59429149
54,1.594329712
54.1,1.594172117
54.2,1.594468826
54.3,1.594362817
54.4,1.594546511
54.5,1.594495948
54.6,1.594133427
54.7,1.594433847
54.8,1.594445821
54.9,1.594456684
55,1.594119078
55.1,1.594250692
55.2,1.594438317
55.3,1.594161949
55.4,1.594151366
55.5,1.594255685
55.6,1.594153
55.7,1.594347234
55.8,1.59421106
55.9,1.59442094
56,1.594304405
56.1,1.594516656
56.2,1.594478728
56.3,1.594314964
56.4,1.594151574
56.5,1.59421239
56.6,1.594402923
56.7,1.594518359
56.8,1.594437123
56.9,1.594166876
57,1.594190903
57.1,1.594230243
57.2,1.594212722
57.3,1.594393829
57.4,1.594176267
57.5,1.594422694
57.6,1.594488957
57.7,1.594109214
57.8,1.594278757
57.9,1.594220318
58,1.594127719
58.1,1.59447942
58.2,1.594131568
58.3,1.59413481
58.4,1.594161387
58.5,1.594174485
58.6,1.594328817
58.7,1.594138597
58.8,1.594195769
58.9,1.594463608
59,1.594160508
59.1,1.594467356
59.2,1.594485629
59.3,1.594560298
59.4,1.594255628
59.5,1.594324554
59.6,1.594161816
59.7,1.594398271
59.8,1.59420731
59.9,1.594537899
60,1.594510053
