#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-03-27 19:52:17.370
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/1000

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Math 1 (V)
-0.00452675,0.3991226590743567,0.0003991226590743567
-0.0045255,0.3807606982836193,0.0003807606982836193
-0.00452425,0.3587263453347161,0.0003587263453347161
-0.004522999999999999,0.3440367767021062,0.0003440367767021063
-0.00452175,0.3146576394369265,0.0003146576394369265
-0.004520499999999999,0.2962956786461725,0.0002962956786461724
-0.00451925,0.2779337178554351,0.0002779337178554351
-0.004517999999999999,0.2558993649065402,0.0002558993649065402
-0.00451675,0.2412097962739504,0.0002412097962739504
-0.0045155,0.2191754433250488,0.0002191754433250488
-0.00451425,0.204485874692459,0.0002044858746924589
-0.004513,0.1861239139017066,0.0001861239139017066
-0.004511749999999999,0.1604171687946542,0.0001604171687946542
-0.0045105,0.1420552080039169,0.0001420552080039169
-0.004509249999999999,0.1236932472131712,0.0001236932472131712
-0.004508,0.1053312864224255,0.0001053312864224255
-0.004506749999999999,0.08696932563167978,8.696932563167978e-05
-0.0045055,0.06493497268279495,6.493497268279494e-05
-0.00450425,0.0429006197338901,4.290061973389009e-05
-0.004503,0.02453865894315274,2.453865894315275e-05
-0.00450175,0.006176698152398693,6.176698152398693e-06
-0.004500499999999999,-0.01953004695465197,-1.953004695465197e-05
-0.00449925,-0.03421961558724185,-3.421961558724184e-05
