#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-28 16:46:08.746
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.000982375,-0.5556993020444198
0.000982625,-0.5446821255699723
0.000982875,-0.5410097334118232
0.0009831250000000001,-0.5299925569373758
0.0009833750000000001,-0.5153029883047793
0.0009836250000000001,-0.5079582039884809
0.0009838749999999999,-0.4969410275140335
0.000984125,-0.4895962431977352
0.000984375,-0.4859238510395861
0.000984625,-0.4712342824069895
0.0009848750000000001,-0.4712342824069895
0.0009851250000000001,-0.4712342824069895
0.0009853750000000001,-0.4638894980906912
0.000985625,-0.4602171059325421
0.000985875,-0.4491999294580947
0.000986125,-0.4418551451417964
0.0009863750000000001,-0.430837968667349
0.0009866250000000001,-0.4198207921929015
0.0009868749999999999,-0.405131223560305
0.0009871250000000002,-0.3941140470858576
0.000987375,-0.3867692627695593
0.000987625,-0.379424478453261
0.000987875,-0.3757520862951119
0.0009881250000000001,-0.3610625176625153
0.0009883750000000001,-0.3573901255043662
0.0009886249999999999,-0.3500453411880679
0.0009888750000000002,-0.3427005568717629
0.000989125,-0.3353557725554713
0.000989375,-0.3243385960810239
0.0009896250000000001,-0.3169938117647256
0.0009898749999999999,-0.3133214196065798
0.0009901250000000001,-0.3023042431321291
0.0009903749999999999,-0.3023042431321291
0.0009906250000000002,-0.2912870666576783
0.000990875,-0.2876146744995325
0.000991125,-0.2765974980250851
0.0009913750000000001,-0.2692527137087868
0.0009916249999999999,-0.2545631450761902
0.0009918750000000001,-0.2435459686017428
0.000992125,-0.2435459686017428
0.000992375,-0.2325287921272954
0.000992625,-0.2251840078109971
0.0009928750000000001,-0.221511615652848
0.0009931250000000001,-0.2141668313365497
0.0009933749999999999,-0.2104944391784005
0.0009936250000000002,-0.2031496548621023
0.000993875,-0.1884600862295057
0.000994125,-0.1847876940713566
0.000994375,-0.1737705175969091
0.0009946250000000001,-0.1627533411224618
0.0009948750000000001,-0.1480637724898652
0.0009951249999999999,-0.1443913803317161
0.0009953750000000002,-0.1333742038572686
0.000995625,-0.1297018116991195
0.000995875,-0.1223570273828212
0.000996125,-0.1113398509083738
0.0009963749999999999,-0.1039950665920822
0.0009966250000000001,-0.1003226744339264
0.0009968749999999999,-0.0929778901176281
0.0009971250000000002,-0.08930549795947228
0.000997375,-0.08196071364318067
0.000997625,-0.07461592932688239
0.0009978750000000001,-0.06727114501058411
0.0009981249999999999,-0.05992636069429251
0.0009983750000000001,-0.05625396853613669
0.0009986249999999999,-0.04890918421983841
0.000998875,-0.03789200774539099
0.000999125,-0.03054722342909271
0.000999375,-0.01953004695464529
0.0009996250000000001,-0.008512870480197866
0.0009998749999999999,-0.004840478322048727
0.001000125,0.002504305994249553
0.001000375,0.01352148246869697
0.001000625,0.01719387462684611
0.001000875,0.02086626678499525
0.001001125,0.02453865894314439
0.001001375,0.03555583541759182
0.001001625,0.03922822757574095
0.001001875,0.05391779620833751
0.001002125,0.0612625805246358
0.001002375,0.07227975699908322
